Date,Company,Type,Jobs Affected,City,Location
2/15/2018,Lot 2 Restaurant and Wine Bar,Closure,15,Omaha,Omaha
2/14/2018,Strategic Health Solutions,Closure,41,Omaha,Omaha
2/11/2018,Village Inn,Closure,32,Lincoln,Lincoln
2/8/2018,"Heartland Products-Hog Slat, Inc.",Layoff,5,Columbus,Columbus
2/6/2018,YMCA,Closure,1,Grand Island,Grand Island
2/5/2018,Schlotzsky's,Closure,13,Lincoln,Lincoln
2/1/2018,Lead & Stone,Closure,,Norfolk,Norfolk
1/31/2018,Bart's Detasseling,Closure,,Beaver Crossing,Beaver Crossing
1/30/2018,GCR (Firestone),Closure,7,North Platte,North Platte
1/29/2018,Fair Deal Cafe,Closure,,Omaha,Omaha
1/29/2018,Beatrice Daily Sun,Layoff,1,Beatrice,Beatrice
1/29/2018,Lincoln Journal Star,Layoff,4,Lincoln,Lincoln
1/26/2018,Wahoo's Fish Taco,Closure,,Lincoln,Lincoln
1/26/2018,Company Kitchen,Closure,3,Omaha,Omaha
1/25/2018,Windstream Communications,Layoff,5,Lincoln,Lincoln
1/23/2018,Oklahoma Joe's,Closure,,Lincoln,Lincoln
1/21/2018,Perkins Restaurant & Bakery,Closure,29,Lincoln,Lincoln - NW 12th
1/19/2018,Austad's Golf,Closure,6,Lincoln,Lincoln
1/19/2018,Watering Hole,Closure,,Lincoln,Lincoln
1/14/2018,Kmart,Closure,44,Omaha,Omaha
1/11/2018,"Liberty Mobility Now, Inc.",Closure,29,Lincoln,Lincoln
1/6/2018,Shopko xxxx,Closure,15,Omaha,Omaha - Southwest
1/6/2018,Shopko Corporate Office,Closure,15,Omaha,Omaha - 3020 South 84th Street
1/2/2018,Strouds,Closure,,Omaha,Omaha
1/1/2018,Dugger's Cafe,Closure,20,Omaha,Omaha
12/31/2017,Progress Rail,Closure,39,Gering,Gering
12/31/2017,Good Samaritan Society,Closure,50,Alliance,Alliance
12/31/2017,Eagle Grocery,Closure,5,Eagle,Eagle
12/31/2017,Reicherts Jewelry,Closure,3,Ogallala,Ogallala
12/29/2017,Union Tank Car,Closure,12,Omaha,Omaha
