Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
30-Jul-15,"EZCORP, Inc.",Travis,Capital Area WDA,98,29-Jul-15,30-Jul-15,Austin
30-Jul-15,Silverleaf Resorts-Tyler,Smith,East Texas WDA,33,28-Sep-15,30-Jul-15,Tyler
30-Jul-15,Silverleaf Resorts-Irving,Dallas,Dallas County WDA,83,28-Sep-15,30-Jul-15,Irving
30-Jul-15,Silvereaf Resorts- Holly Lake Ranch,Wood,East Texas WDA,18,28-Sep-15,30-Jul-15,Hawkins
30-Jul-15,Silverleaf Resorts-Pantego,Tarrant,Tarrant County WDA,120,28-Sep-15,30-Jul-15,Pantego
24-Jul-15,Maxim Integrated Products-Lone Star Office,Dallas,Dallas County WDA,27,25-Sep-15,24-Jul-15,Dallas
22-Jul-15,The Tatitlek Corp.-Tatilek Traning Services,El Paso,Upper Rio Grande WDA,64,30-Sep-15,22-Jul-15,Fort Bliss
21-Jul-15,HOWCO,Dewitt,Golden Crescent WDA,17,20-Jul-15,21-Jul-15,Yorktown
20-Jul-15,Flextronics-Waco,Collin,North Central Texas WDA,168,1-Oct-15,20-Jul-15,Plano
20-Jul-15,"TimkenSteel Matrial Services, LLC",Harris,Gulf Coast WDA,39,21-Jul-15,20-Jul-15,Houston
17-Jul-15,Sun Products Corporation,Harris,Gulf Coast WDA,113,12-Sep-15,17-Jul-15,Pasadena
16-Jul-15,NCS Pearson,Travis,Capital Area WDA,140,16-Sep-15,16-Jul-15,Austin
13-Jul-15,First Transit-Austin,Travis,Capital Area WDA,342,1-Oct-15,13-Jul-15,Austin
8-Jul-15,Baylor Medical Center - Our Children's House at Baylor - Dallas,Dallas,Dallas County WDA,181,8-Sep-15,8-Jul-15,Dallas
7-Jul-15,Noble Energy-Rosetta Resources Inc.,Harris,Gulf Coast WDA,306,20-Jul-15,7-Jul-15,Houston
2-Jul-15,"Wedge Energy Services, LLC",Johnson,North Central Texas WDA,46,4-Sep-15,2-Jul-15,Joshua
1-Jul-15,University of TX-Pan American,Hidalgo,Lower Rio Grande Valley WDA,2424,31-Aug-15,1-Jul-15,Edinburg
